n,seed,alpha,method,obj,runtime,n_cuts,status,mip_gap,n_callbacks,callback_time,n_iterations,heur_runtime,heur_value,heur_status,heur_pool_size,solver_runtime,coalitions,n_coalitions,avg_coalition_size,css_feasible,n_lifted_added,n_basic_added,n_value_evals,heur_phase1_time,heur_phase2_time,heur_core_checks,heur_core_feasible,heur_coalitions,heur_payoffs,payoffs,timestamp
2,44,0.5,OCS_McC,1340.0,0.045,0,optimal,0.0,,,,,,,,,"[(0,), (1,)]",2,1.0,,,,,,,,,,,"{""0"": 569.0, ""1"": 771.0}",07-24 16:00:44
2,44,0.5,OCS_DL,1340.0,0.006,0,optimal,0.0,,,,,,,,,"[(0,), (1,)]",2,1.0,,,,,,,,,,,"{""0"": 569.0, ""1"": 771.0}",07-24 16:00:45
2,44,0.5,enum_McC,1340.0,0.014,0,optimal,,,,1,,,,,,"[(0,), (1,)]",2,1.0,True,,,2,,,,,,,"{""0"": 569.0, ""1"": 771.0}",07-24 16:00:45
2,44,0.5,enum_DL,1340.0,0.005,0,optimal,,,,1,,,,,,"[(0,), (1,)]",2,1.0,True,,,2,,,,,,,"{""0"": 569.0, ""1"": 771.0}",07-24 16:00:45
2,44,0.5,lazy_McC,1340.0,0.015,1,optimal,7.855459544387812e-05,8,0.0,,,,,,,"[(0,), (1,)]",2,1.0,True,1,0,2,,,,,,,"{""0"": 569.0, ""1"": 771.0}",07-24 16:00:45
2,44,0.5,lazy_DL,1340.0,0.01,1,optimal,0.0,10,0.0,,,,,,,"[(0,), (1,)]",2,1.0,True,1,0,2,,,,,,,"{""0"": 569.0, ""1"": 771.0}",07-24 16:00:45
2,44,0.5,lazy_MIP_McC,1340.0,0.015,1,optimal,7.855459544387812e-05,8,0.0005049705505371094,,,,,,,"[(0,), (1,)]",2,1.0,True,1,0,2,,,,,,,"{""0"": 569.0, ""1"": 771.0}",07-24 16:00:45
2,44,0.5,lazy_MIP_DL,1340.0,0.013,1,optimal,0.0,10,0.0,,,,,,,"[(0,), (1,)]",2,1.0,True,1,0,2,,,,,,,"{""0"": 569.0, ""1"": 771.0}",07-24 16:00:45
2,44,0.5,lazy_MIP_basic_McC,1340.0,0.019,1,optimal,7.855459544387812e-05,8,0.002009153366088867,,,,,,,"[(0,), (1,)]",2,1.0,True,0,1,2,,,,,,,"{""0"": 569.0, ""1"": 771.0}",07-24 16:00:45
2,44,1.0,OCS_McC,1365.0,0.01,0,optimal,0.0,,,,,,,,,"[(0, 1)]",1,2.0,,,,,,,,,,,"{""0"": 1365.0, ""1"": 0.0}",07-24 16:00:45
2,44,1.0,OCS_DL,1365.0,0.004,0,optimal,0.0,,,,,,,,,"[(0, 1)]",1,2.0,,,,,,,,,,,"{""0"": 1365.0, ""1"": 0.0}",07-24 16:00:45
2,44,1.0,enum_McC,1365.0,0.016,1,optimal,,,,2,,,,,,"[(0, 1)]",1,2.0,True,,,2,,,,,,,"{""0"": 594.0, ""1"": 771.0}",07-24 16:00:45
2,44,1.0,enum_DL,1365.0,0.011,1,optimal,,,,2,,,,,,"[(0, 1)]",1,2.0,True,,,2,,,,,,,"{""0"": 594.0, ""1"": 771.0}",07-24 16:00:45
