n,seed,alpha,method,coalition,size,V_c,shapley,shapley_in_core,shapley_max_violation,nucleolus,least_core_eps,n_subsets,runtime_values,runtime_shapley,runtime_nucleolus
26,68,1.0,lazy_MIP_ws_McC,"(4, 8)",2,1732.0,"{""4"": 856.5, ""8"": 875.5}",True,0.0,"{""4"": 856.5, ""8"": 875.5}",-17.5,3,0.012,0.0,0.002
26,68,1.0,lazy_MIP_ws_McC,"(5, 7, 20, 21)",4,2889.0,"{""5"": 732.8333, ""7"": 732.8333, ""20"": 752.1667, ""21"": 671.1667}",True,0.0,"{""5"": 728.5, ""7"": 733.5, ""20"": 749.5, ""21"": 677.5}",-10.0,15,0.065,0.0,0.01
26,68,1.0,lazy_MIP_ws_McC,"(0, 2, 3, 10, 25)",5,3035.0,"{""0"": 791.9333, ""2"": 636.0167, ""3"": 603.7667, ""10"": 463.9333, ""25"": 539.35}",False,3.933333,"{""0"": 785.5, ""2"": 636.75, ""3"": 605.0, ""10"": 468.0, ""25"": 539.75}",-2.5,31,0.14,0.0,0.032
26,68,1.0,lazy_MIP_ws_McC,"(1, 12, 13, 14, 17, 22)",6,4016.0,"{""1"": 757.3, ""12"": 730.2333, ""13"": 741.0667, ""14"": 511.4167, ""17"": 605.3667, ""22"": 670.6167}",True,0.0,"{""1"": 753.375, ""12"": 730.0, ""13"": 736.75, ""14"": 519.375, ""17"": 605.875, ""22"": 670.625}",-6.0,63,0.303,0.016,0.032
26,68,1.0,lazy_MIP_ws_McC,"(6, 9, 11, 15, 16, 18, 19, 23, 24)",9,6349.0,"{""6"": 766.4409, ""9"": 845.6361, ""11"": 586.673, ""15"": 646.2599, ""16"": 817.9885, ""18"": 769.8813, ""19"": 560.6587, ""23"": 617.2635, ""24"": 738.198}",False,4.582143,"{""6"": 764.5, ""9"": 843.125, ""11"": 590.25, ""15"": 647.25, ""16"": 820.25, ""18"": 766.25, ""19"": 560.75, ""23"": 620.25, ""24"": 736.375}",0.0,511,3.078,0.0,0.158
28,70,0.5,lazy_MIP_ws_McC,"(7,)",1,583.0,"{""7"": 583.0}",True,0.0,"{""7"": 583.0}",0.0,1,0.0,0.0,0.0
28,70,0.5,lazy_MIP_ws_McC,"(0, 10)",2,1448.0,"{""0"": 588.5, ""10"": 859.5}",True,0.0,"{""0"": 588.5, ""10"": 859.5}",-11.5,3,0.0,0.0,0.016
28,70,0.5,lazy_MIP_ws_McC,"(2, 11)",2,1450.0,"{""2"": 605.0, ""11"": 845.0}",True,0.0,"{""2"": 605.0, ""11"": 845.0}",-15.0,3,0.0,0.0,0.016
28,70,0.5,lazy_MIP_ws_McC,"(3, 14)",2,1229.0,"{""3"": 658.0, ""14"": 571.0}",True,0.0,"{""3"": 658.0, ""14"": 571.0}",-22.0,3,0.016,0.0,0.0
28,70,0.5,lazy_MIP_ws_McC,"(4, 25)",2,1286.0,"{""4"": 659.5, ""25"": 626.5}",True,0.0,"{""4"": 659.5, ""25"": 626.5}",-10.5,3,0.016,0.0,0.0
28,70,0.5,lazy_MIP_ws_McC,"(5, 13)",2,1447.0,"{""5"": 695.0, ""13"": 752.0}",True,0.0,"{""5"": 695.0, ""13"": 752.0}",-22.0,3,0.016,0.0,0.0
28,70,0.5,lazy_MIP_ws_McC,"(9, 23)",2,1304.0,"{""9"": 691.0, ""23"": 613.0}",True,0.0,"{""9"": 691.0, ""23"": 613.0}",-15.0,3,0.016,0.0,0.0
28,70,0.5,lazy_MIP_ws_McC,"(12, 20)",2,1226.0,"{""12"": 599.0, ""20"": 627.0}",True,0.0,"{""12"": 599.0, ""20"": 627.0}",-4.0,3,0.016,0.0,0.016
28,70,0.5,lazy_MIP_ws_McC,"(15, 27)",2,1296.0,"{""15"": 696.0, ""27"": 600.0}",True,0.0,"{""15"": 696.0, ""27"": 600.0}",-8.0,3,0.0,0.0,0.0
28,70,0.5,lazy_MIP_ws_McC,"(16, 21)",2,1068.0,"{""16"": 492.5, ""21"": 575.5}",True,0.0,"{""16"": 492.5, ""21"": 575.5}",-2.5,3,0.016,0.0,0.0
28,70,0.5,lazy_MIP_ws_McC,"(17, 24)",2,1380.0,"{""17"": 781.5, ""24"": 598.5}",True,0.0,"{""17"": 781.5, ""24"": 598.5}",-5.5,3,0.016,0.0,0.0
28,70,0.5,lazy_MIP_ws_McC,"(18, 22)",2,1484.0,"{""18"": 910.5, ""22"": 573.5}",True,0.0,"{""18"": 910.5, ""22"": 573.5}",-21.5,3,0.016,0.0,0.0
28,70,0.5,lazy_MIP_ws_McC,"(19, 26)",2,1466.0,"{""19"": 824.5, ""26"": 641.5}",True,0.0,"{""19"": 824.5, ""26"": 641.5}",-15.5,3,0.016,0.0,0.0
28,70,0.5,lazy_MIP_ws_McC,"(1, 6, 8)",3,2109.0,"{""1"": 748.6667, ""6"": 790.6667, ""8"": 569.6667}",True,0.0,"{""1"": 750.6667, ""6"": 791.6667, ""8"": 566.6667}",-12.333333,7,0.032,0.0,0.0
28,70,1.0,lazy_MIP_ws_McC,"(0, 9, 26)",3,1940.0,"{""0"": 600.8333, ""9"": 690.8333, ""26"": 648.3333}",True,0.0,"{""0"": 604.3333, ""9"": 685.3333, ""26"": 650.3333}",-8.666667,7,0.016,0.0,0.0
28,70,1.0,lazy_MIP_ws_McC,"(1, 3, 23)",3,2032.0,"{""1"": 755.6667, ""3"": 660.1667, ""23"": 616.1667}",True,0.0,"{""1"": 762.0, ""3"": 660.0, ""23"": 610.0}",-9.0,7,0.047,0.0,0.0
28,70,1.0,lazy_MIP_ws_McC,"(4, 8, 11, 20)",4,2717.0,"{""4"": 668.3333, ""8"": 566.5, ""11"": 848.3333, ""20"": 633.8333}",False,0.333333,"{""4"": 667.0, ""8"": 567.0, ""11"": 850.5, ""20"": 632.5}",-0.5,15,0.079,0.0,0.0
28,70,1.0,lazy_MIP_ws_McC,"(6, 14, 24, 25, 27)",5,3210.0,"{""6"": 794.3667, ""14"": 580.3667, ""24"": 603.3667, ""25"": 628.6167, ""27"": 603.2833}",False,1.983333,"{""6"": 794.5, ""14"": 585.6667, ""24"": 601.3333, ""25"": 625.1667, ""27"": 603.3333}",-1.333333,31,0.111,0.0,0.016
28,70,1.0,lazy_MIP_ws_McC,"(12, 13, 15, 17, 21, 22)",6,4025.0,"{""12"": 606.45, ""13"": 752.6333, ""15"": 710.4833, ""17"": 787.8833, ""21"": 586.8333, ""22"": 580.7167}",False,1.083333,"{""12"": 605.0, ""13"": 751.0, ""15"": 714.0, ""17"": 786.0, ""21"": 585.0, ""22"": 584.0}",-1.0,63,0.285,0.0,0.032
28,70,1.0,lazy_MIP_ws_McC,"(2, 5, 7, 10, 16, 18, 19)",7,5006.0,"{""2"": 606.8024, ""5"": 703.4524, ""7"": 591.869, ""10"": 859.7357, ""16"": 498.1857, ""18"": 918.3024, ""19"": 827.6524}",False,0.838095,"{""2"": 608.5833, ""5"": 706.6667, ""7"": 591.1667, ""10"": 856.375, ""16"": 497.0, ""18"": 920.375, ""19"": 825.8333}",-1.5,127,0.681,0.0,0.079
30,72,0.5,lazy_MIP_ws_McC,"(0,)",1,776.0,"{""0"": 776.0}",True,0.0,"{""0"": 776.0}",0.0,1,0.016,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(7,)",1,780.0,"{""7"": 780.0}",True,0.0,"{""7"": 780.0}",0.0,1,0.0,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(10,)",1,809.0,"{""10"": 809.0}",True,0.0,"{""10"": 809.0}",0.0,1,0.0,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(13,)",1,659.0,"{""13"": 659.0}",True,0.0,"{""13"": 659.0}",0.0,1,0.0,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(23,)",1,599.0,"{""23"": 599.0}",True,0.0,"{""23"": 599.0}",0.0,1,0.016,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(1, 5)",2,1530.0,"{""1"": 705.0, ""5"": 825.0}",True,0.0,"{""1"": 705.0, ""5"": 825.0}",-10.0,3,0.0,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(2, 9)",2,1357.0,"{""2"": 490.5, ""9"": 866.5}",True,0.0,"{""2"": 490.5, ""9"": 866.5}",-22.5,3,0.016,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(3, 17)",2,1240.0,"{""3"": 647.0, ""17"": 593.0}",True,0.0,"{""3"": 647.0, ""17"": 593.0}",-22.0,3,0.013,0.0,0.003
30,72,0.5,lazy_MIP_ws_McC,"(6, 21)",2,1381.0,"{""6"": 689.5, ""21"": 691.5}",True,0.0,"{""6"": 689.5, ""21"": 691.5}",-14.5,3,0.0,0.0,0.016
30,72,0.5,lazy_MIP_ws_McC,"(8, 14)",2,1376.0,"{""8"": 691.0, ""14"": 685.0}",True,0.0,"{""8"": 691.0, ""14"": 685.0}",-15.0,3,0.0,0.0,0.016
30,72,0.5,lazy_MIP_ws_McC,"(11, 19)",2,1499.0,"{""11"": 756.5, ""19"": 742.5}",True,0.0,"{""11"": 756.5, ""19"": 742.5}",-10.5,3,0.016,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(12, 26)",2,1411.0,"{""12"": 539.5, ""26"": 871.5}",True,0.0,"{""12"": 539.5, ""26"": 871.5}",-6.5,3,0.016,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(15, 22)",2,1461.0,"{""15"": 783.0, ""22"": 678.0}",True,0.0,"{""15"": 783.0, ""22"": 678.0}",-8.0,3,0.0,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(16, 18)",2,1341.0,"{""16"": 677.5, ""18"": 663.5}",True,0.0,"{""16"": 677.5, ""18"": 663.5}",-12.5,3,0.016,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(25, 29)",2,1425.0,"{""25"": 783.0, ""29"": 642.0}",True,0.0,"{""25"": 783.0, ""29"": 642.0}",-22.0,3,0.019,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(27, 28)",2,1196.0,"{""27"": 763.5, ""28"": 432.5}",True,0.0,"{""27"": 763.5, ""28"": 432.5}",-25.5,3,0.013,0.0,0.0
30,72,0.5,lazy_MIP_ws_McC,"(4, 20, 24)",3,1836.0,"{""4"": 568.0, ""20"": 496.0, ""24"": 772.0}",True,0.0,"{""4"": 566.0, ""20"": 495.5, ""24"": 774.5}",-7.0,7,0.032,0.0,0.0
30,72,1.0,lazy_MIP_ws_McC,"(1, 16)",2,1381.0,"{""1"": 705.5, ""16"": 675.5}",True,0.0,"{""1"": 705.5, ""16"": 675.5}",-10.5,3,0.016,0.0,0.0
30,72,1.0,lazy_MIP_ws_McC,"(9, 12)",2,1425.0,"{""9"": 868.0, ""12"": 557.0}",True,0.0,"{""9"": 868.0, ""12"": 557.0}",-24.0,3,0.016,0.0,0.0
30,72,1.0,lazy_MIP_ws_McC,"(14, 19, 20, 27)",4,2726.0,"{""14"": 697.4167, ""19"": 757.5833, ""20"": 498.9167, ""27"": 772.0833}",True,0.0,"{""14"": 697.0, ""19"": 754.0, ""20"": 500.0, ""27"": 775.0}",-7.0,15,0.063,0.0,0.016
30,72,1.0,lazy_MIP_ws_McC,"(10, 15, 21, 25, 26)",5,3961.0,"{""10"": 823.8833, ""15"": 785.8833, ""21"": 689.6333, ""25"": 787.2167, ""26"": 874.3833}",True,0.0,"{""10"": 823.25, ""15"": 784.5, ""21"": 689.0, ""25"": 791.25, ""26"": 873.0}",-3.5,31,0.127,0.0,0.016
30,72,1.0,lazy_MIP_ws_McC,"(5, 7, 13, 18, 22, 24, 28, 29)",8,5509.0,"{""5"": 831.4821, ""7"": 796.8988, ""13"": 673.7536, ""18"": 667.6321, ""22"": 684.4964, ""24"": 775.6345, ""28"": 430.7893, ""29"": 648.3131}",False,0.877381,"{""5"": 831.1, ""7"": 794.0, ""13"": 675.1, ""18"": 667.2, ""22"": 685.2, ""24"": 779.2, ""28"": 430.2, ""29"": 647.0}",-1.6,255,1.478,0.0,0.159
30,72,1.0,lazy_MIP_ws_McC,"(0, 2, 3, 4, 6, 8, 11, 17, 23)",9,5864.0,"{""0"": 785.2119, ""2"": 499.5012, ""3"": 646.6048, ""4"": 568.3452, ""6"": 704.1321, ""8"": 691.8429, ""11"": 765.9274, ""17"": 593.481, ""23"": 608.9536}",False,3.161905,"{""0"": 785.2143, ""2"": 500.7143, ""3"": 645.5, ""4"": 566.2857, ""6"": 703.7143, ""8"": 690.2857, ""11"": 766.8571, ""17"": 595.5714, ""23"": 609.8571}",0.0,511,2.882,0.0,0.332
